 Date_Time,Storage (km^3),Elevation (m),Rate of Change (cm)
1/1/2017 0:00,0.251477748,1314.29455,5.4864
1/2/2017 0:00,0.253153395,1314.34942,5.4864
1/3/2017 0:00,0.254838906,1314.40428,6.096
1/4/2017 0:00,0.256721697,1314.46524,5.1816
1/5/2017 0:00,0.258329529,1314.51706,4.8768
1/6/2017 0:00,0.259851051,1314.56582,4.572
1/7/2017 0:00,0.261282564,1314.61154,4.8768
1/8/2017 0:00,0.262816416,1314.66031,4.8768
1/9/2017 0:00,0.264357666,1314.70908,4.8768
1/10/2017 0:00,0.265906314,1314.75785,4.8768
1/11/2017 0:00,0.267461127,1314.80662,4.2672
1/12/2017 0:00,0.268827291,1314.84929,4.2672
1/13/2017 0:00,0.27019962,1314.89196,6.4008
1/14/2017 0:00,0.272266128,1314.95597,11.5824
1/15/2017 0:00,0.276036642,1315.07179,5.7912
1/16/2017 0:00,0.277936695,1315.1297,6.096
1/17/2017 0:00,0.279947718,1315.19066,8.8392
1/18/2017 0:00,0.282882258,1315.27906,7.3152
1/19/2017 0:00,0.28532853,1315.35221,6.4008
1/20/2017 0:00,0.287480115,1315.41622,5.1816
1/21/2017 0:00,0.289232208,1315.46803,9.144
1/22/2017 0:00,0.292341834,1315.55947,5.1816
1/23/2017 0:00,0.294114888,1315.61129,7.3152
1/24/2017 0:00,0.296630208,1315.68444,5.7912
1/25/2017 0:00,0.298633833,1315.74235,6.096
1/26/2017 0:00,0.300752127,1315.80331,4.2672
1/27/2017 0:00,0.302241591,1315.84598,5.7912
1/28/2017 0:00,0.304272342,1315.9039,4.572
1/29/2017 0:00,0.305881407,1315.94962,5.4864
1/30/2017 0:00,0.307820916,1316.00448,4.572
1/31/2017 0:00,0.309443544,1316.0502,4.2672
2/1/2017 0:00,0.310963833,1316.09287,3.9624
2/2/2017 0:00,0.31238055,1316.1325,3.9624
2/3/2017 0:00,0.313800966,1316.17212,3.9624
2/4/2017 0:00,0.315226314,1316.21174,3.9624
2/5/2017 0:00,0.316656594,1316.25137,3.3528
2/6/2017 0:00,0.317869866,1316.2849,3.3528
2/7/2017 0:00,0.319086837,1316.31842,4.572
2/8/2017 0:00,0.320751387,1316.36414,3.9624
2/9/2017 0:00,0.322198929,1316.40377,4.572
2/10/2017 0:00,0.323874576,1316.44949,3.3528
2/11/2017 0:00,0.325107576,1316.48302,5.4864
2/12/2017 0:00,0.327132162,1316.53788,5.4864
2/13/2017 0:00,0.329165379,1316.59274,4.8768
2/14/2017 0:00,0.330979122,1316.64151,5.1816
2/15/2017 0:00,0.332914932,1316.69333,6.4008
2/16/2017 0:00,0.335315583,1316.75734,6.4008
2/17/2017 0:00,0.337727331,1316.82134,4.572
2/18/2017 0:00,0.339453531,1316.86706,7.9248
2/19/2017 0:00,0.342458352,1316.94631,6.7056
2/20/2017 0:00,0.345010662,1317.01337,6.096
2/21/2017 0:00,0.347338566,1317.07433,6.4008
2/22/2017 0:00,0.349792236,1317.13834,5.7912
2/23/2017 0:00,0.352019034,1317.19625,5.7912
2/24/2017 0:00,0.35425323,1317.25416,6.096
2/25/2017 0:00,0.356613192,1317.31512,6.096
2/26/2017 0:00,0.358979319,1317.37608,6.096
2/27/2017 0:00,0.361354077,1317.43704,7.0104
2/28/2017 0:00,0.364095036,1317.50714,4.572
3/1/2017 0:00,0.365887818,1317.55286,4.8768
3/2/2017 0:00,0.367805133,1317.60163,4.8768
3/3/2017 0:00,0.36972738,1317.6504,3.9624
3/4/2017 0:00,0.37129329,1317.69002,2.1336
3/5/2017 0:00,0.372137895,1317.71136,2.1336
3/6/2017 0:00,0.3729825,1317.7327,-0.3048
3/7/2017 0:00,0.372861666,1317.72965,-1.8288
3/8/2017 0:00,0.372137895,1317.71136,-3.3528
3/9/2017 0:00,0.370811187,1317.67783,-3.048
3/10/2017 0:00,0.369607779,1317.64735,-3.3528
3/11/2017 0:00,0.368286003,1317.61382,-4.2672
3/12/2017 0:00,0.366606657,1317.57115,-3.048
3/13/2017 0:00,0.365409414,1317.54067,-2.7432
3/14/2017 0:00,0.364334238,1317.51324,-3.3528
3/15/2017 0:00,0.363021093,1317.47971,-3.3528
3/16/2017 0:00,0.361711647,1317.44618,-2.7432
3/17/2017 0:00,0.360641403,1317.41875,-3.048
3/18/2017 0:00,0.359454024,1317.38827,-1.8288
3/19/2017 0:00,0.358742583,1317.36998,1.2192
3/20/2017 0:00,0.359217288,1317.38218,1.8288
3/21/2017 0:00,0.359928729,1317.40046,1.2192
3/22/2017 0:00,0.360403434,1317.41266,1.8288
3/23/2017 0:00,0.361116108,1317.43094,4.8768
3/24/2017 0:00,0.363021093,1317.47971,7.0104
3/25/2017 0:00,0.365768217,1317.54982,7.0104
3/26/2017 0:00,0.368525205,1317.61992,8.2296
3/27/2017 0:00,0.371775393,1317.70222,7.62
3/28/2017 0:00,0.374797476,1317.77842,10.0584
3/29/2017 0:00,0.378804726,1317.879,8.2296
3/30/2017 0:00,0.382099302,1317.9613,8.8392
3/31/2017 0:00,0.385654041,1318.04969,7.9248
4/1/2017 0:00,0.388854909,1318.12894,8.2296
4/2/2017 0:00,0.39219264,1318.21123,9.7536
4/3/2017 0:00,0.396166599,1318.30877,10.3632
4/4/2017 0:00,0.400411818,1318.4124,10.3632
4/5/2017 0:00,0.404677998,1318.51603,10.3632
4/6/2017 0:00,0.408967605,1318.61966,10.9728
4/7/2017 0:00,0.413534637,1318.72939,9.7536
4/8/2017 0:00,0.417614634,1318.82693,8.5344
4/9/2017 0:00,0.421201431,1318.91227,7.62
4/10/2017 0:00,0.424415862,1318.98847,6.096
4/11/2017 0:00,0.426997764,1319.04943,5.7912
4/12/2017 0:00,0.429456366,1319.10734,5.1816
4/13/2017 0:00,0.431662203,1319.15916,4.8768
4/14/2017 0:00,0.43374474,1319.20793,5.7912
4/15/2017 0:00,0.43622307,1319.26584,4.8768
4/16/2017 0:00,0.438315471,1319.31461,6.096
4/17/2017 0:00,0.440938062,1319.37557,5.7912
4/18/2017 0:00,0.44343612,1319.43348,6.096
4/19/2017 0:00,0.44607474,1319.49444,7.62
4/20/2017 0:00,0.449382879,1319.57064,7.9248
4/21/2017 0:00,0.452835279,1319.64989,7.62
4/22/2017 0:00,0.456169311,1319.72609,6.7056
4/23/2017 0:00,0.459112482,1319.79314,7.62
4/24/2017 0:00,0.462471174,1319.86934,7.9248
4/25/2017 0:00,0.465981525,1319.94859,8.8392
4/26/2017 0:00,0.469917261,1320.03698,8.8392
4/27/2017 0:00,0.473876424,1320.12538,7.0104
4/28/2017 0:00,0.477031671,1320.19548,13.1064
4/29/2017 0:00,0.482967333,1320.32654,10.668
4/30/2017 0:00,0.487835217,1320.43322,13.1064
5/1/2017 0:00,0.493859655,1320.56429,13.1064
5/2/2017 0:00,0.499933413,1320.69535,11.5824
5/3/2017 0:00,0.505340118,1320.81118,10.9728
5/4/2017 0:00,0.51049899,1320.9209,9.144
5/5/2017 0:00,0.514823121,1321.01234,8.5344
5/6/2017 0:00,0.518880924,1321.09769,6.4008
5/7/2017 0:00,0.521937531,1321.1617,5.4864
5/8/2017 0:00,0.524566287,1321.21656,6.096
5/9/2017 0:00,0.527497128,1321.27752,5.1816
5/10/2017 0:00,0.529997652,1321.32934,6.096
5/11/2017 0:00,0.532948221,1321.3903,5.7912
5/12/2017 0:00,0.535760694,1321.44821,6.7056
5/13/2017 0:00,0.53903061,1321.51526,7.3152
5/14/2017 0:00,0.542611242,1321.58842,7.3152
5/15/2017 0:00,0.54620667,1321.66157,8.5344
5/16/2017 0:00,0.550421064,1321.74691,8.2296
5/17/2017 0:00,0.55450476,1321.82921,10.0584
5/18/2017 0:00,0.559520604,1321.92979,11.5824
5/19/2017 0:00,0.565332966,1322.04562,10.3632
5/20/2017 0:00,0.570565818,1322.14925,11.5824
5/21/2017 0:00,0.576450927,1322.26507,10.9728
5/22/2017 0:00,0.582061077,1322.3748,11.8872
