netid,tl,w,agecap,ann,bclen
6,385,521,6,1,210
6,385,521,6,2,264
6,385,521,6,3,299
6,385,521,6,4,329
6,385,521,6,5,358
6,385,521,6,6,378
6,357,466,4,1,213
6,357,466,4,2,262
6,357,466,4,3,309
6,357,466,4,4,346
6,397,725,5,1,209
6,397,725,5,2,253
6,397,725,5,3,322
6,397,725,5,4,357
6,397,725,5,5,384
8,393,610,8,1,202
8,393,610,8,2,245
8,393,610,8,3,274
8,393,610,8,4,306
8,393,610,8,5,325
8,393,610,8,6,363
8,393,610,8,7,379
8,393,610,8,8,388
8,373,571,4,1,193
8,373,571,4,2,237
8,373,571,4,3,294
8,373,571,4,4,361
8,389,656,6,1,163
8,389,656,6,2,250
8,389,656,6,3,294
8,389,656,6,4,318
8,389,656,6,5,355
8,389,656,6,6,379
9,396,679,5,1,211
9,396,679,5,2,254
9,396,679,5,3,327
9,396,679,5,4,361
9,396,679,5,5,389
7,278,215,1,1,178
7,269,205,1,1,203
7,273,223,1,1,202
7,259,209,1,1,189
7,272,218,1,1,199
7,270,207,1,1,199
7,258,185,1,1,184
7,261,175,1,1,197
7,262,179,1,1,188
7,250,157,1,1,182
7,280,236,1,1,206
7,251,170,1,1,186
7,270,196,1,1,189
7,251,172,1,1,198
7,268,175,1,1,191
7,264,185,1,1,186
7,247,152,1,1,181
7,267,190,1,1,206
7,238,137,1,1,169
7,256,179,1,1,186
7,275,222,1,1,212
7,269,187,1,1,203
7,265,213,1,1,198
7,272,214,1,1,201
7,275,229,1,1,205
7,252,157,1,1,189
7,274,203,1,1,207
7,273,209,1,1,205
7,406,537,5,1,211
7,406,537,5,2,313
7,406,537,5,3,354
7,406,537,5,4,385
7,406,537,5,5,396
7,255,182,1,1,188
7,266,193,1,1,198
7,420,696,7,1,186
7,420,696,7,2,299
7,420,696,7,3,355
7,420,696,7,4,397
7,420,696,7,5,405
7,420,696,7,6,411
7,420,696,7,7,414
7,258,172,1,1,182
7,264,189,1,1,191
7,259,184,1,1,154
7,275,210,1,1,209
7,263,191,1,1,189
7,258,168,1,1,172
7,280,219,1,1,204
7,268,200,1,1,193
7,261,183,1,1,179
7,263,168,1,1,187
7,251,170,1,1,179
7,235,132,1,1,160
2,408,633,7,1,238
2,408,633,7,2,325
2,408,633,7,3,358
2,408,633,7,4,380
2,408,633,7,5,393
2,408,633,7,6,400
2,408,633,7,7,404
5,404,552,3,1,223
5,404,552,3,2,337
5,404,552,3,3,383
6,275,218,1,1,213
6,285,248,1,1,215
6,265,218,1,1,195
6,256,216,1,1,195
6,401,663,4,1,225
6,401,663,4,2,347
6,401,663,4,3,375
6,401,663,4,4,396
6,271,207,1,1,201
6,411,718,6,1,209
6,411,718,6,2,347
6,411,718,6,3,356
6,411,718,6,4,385
6,411,718,6,5,399
6,411,718,6,6,407
6,274,226,1,1,196
6,265,200,1,1,192
6,270,216,1,1,185
6,280,240,1,1,201
11,276,212,1,1,197
11,267,206,1,1,204
11,275,205,1,1,202
11,262,175,1,1,187
11,398,542,3,1,180
11,398,542,3,2,312
11,398,542,3,3,353
12,282,215,1,1,203
12,268,188,1,1,189
12,265,186,1,1,195
12,265,190,1,1,188
12,278,224,1,1,206
12,250,145,1,1,175
12,271,205,1,1,194
12,281,230,1,1,207
12,268,186,1,1,194
12,262,174,1,1,198
12,270,192,1,1,189
12,262,183,1,1,191
12,276,211,1,1,209
12,415,654,8,1,243
12,415,654,8,2,302
12,415,654,8,3,354
12,415,654,8,4,380
12,415,654,8,5,387
12,415,654,8,6,396
12,415,654,8,7,403
12,415,654,8,8,407
12,256,169,1,1,185
12,414,654,4,1,220
12,414,654,4,2,336
12,414,654,4,3,395
12,414,654,4,4,407
12,409,595,4,1,215
12,409,595,4,2,347
12,409,595,4,3,382
12,409,595,4,4,394
12,265,200,1,1,195
12,242,154,1,1,172
12,246,145,1,1,153
12,258,173,1,1,189
8,388,492,5,1,229
8,388,492,5,2,343
8,388,492,5,3,363
8,388,492,5,4,369
8,388,492,5,5,378
8,431,698,8,1,224
8,431,698,8,2,330
8,431,698,8,3,371
8,431,698,8,4,390
8,431,698,8,5,403
8,431,698,8,6,410
8,431,698,8,7,417
8,431,698,8,8,423
13,377,564,3,1,219
13,377,564,3,2,317
13,377,564,3,3,365
13,395,513,4,1,181
13,395,513,4,2,328
13,395,513,4,3,361
13,395,513,4,4,385
13,259,200,1,1,178
13,368,490,3,1,207
13,368,490,3,2,309
13,368,490,3,3,357
13,382,522,5,1,227
13,382,522,5,2,326
13,382,522,5,3,349
13,382,522,5,4,364
13,382,522,5,5,374
13,272,221,1,1,208
13,381,580,5,1,194
13,381,580,5,2,314
13,381,580,5,3,344
13,381,580,5,4,364
13,381,580,5,5,374
13,268,209,1,1,194
13,265,209,1,1,189
9,261,193,1,1,193
9,263,186,1,1,183
9,264,184,1,1,196
9,266,193,1,1,196
9,282,235,1,1,203
9,247,154,1,1,179
9,395,538,3,1,224
9,395,538,3,2,332
9,395,538,3,3,361
9,271,219,1,1,208
9,268,197,1,1,187
9,269,202,1,1,194
9,276,210,1,1,207
9,252,174,1,1,191
9,280,200,1,1,214
9,251,172,1,1,175
9,416,549,5,1,204
9,416,549,5,2,314
9,416,549,5,3,368
9,416,549,5,4,387
9,416,549,5,5,410
9,260,186,1,1,194
9,246,147,1,1,173
9,250,173,1,1,174
9,262,185,1,1,199
9,265,201,1,1,191
9,255,174,1,1,182
9,419,597,5,1,200
9,419,597,5,2,293
9,419,597,5,3,350
9,419,597,5,4,393
9,419,597,5,5,413
9,398,580,4,1,206
9,398,580,4,2,338
9,398,580,4,3,373
9,398,580,4,4,388
9,277,221,1,1,204
9,268,199,1,1,203
9,267,193,1,1,188
9,243,148,1,1,165
9,271,212,1,1,201
9,427,683,5,1,256
9,427,683,5,2,344
9,427,683,5,3,386
9,427,683,5,4,404
9,427,683,5,5,420
9,257,178,1,1,175
9,271,198,1,1,194
9,274,210,1,1,205
9,261,201,1,1,191
9,275,212,1,1,206
9,259,185,1,1,186
9,251,176,1,1,184
9,269,219,1,1,196
9,265,191,1,1,217
9,264,190,1,1,188
9,251,164,1,1,185
9,260,180,1,1,194
9,235,133,1,1,160
9,412,670,5,1,195
9,412,670,5,2,334
9,412,670,5,3,378
9,412,670,5,4,396
9,412,670,5,5,408
9,243,156,1,1,167
9,257,162,1,1,180
9,265,196,1,1,193
9,261,182,1,1,182
9,253,166,1,1,188
9,261,169,1,1,193
9,280,227,1,1,208
9,271,208,1,1,193
