SiteCode,Water,Light,Medium,Dark,DateTime,RosClass,GageDaily,GageWeekly,GageDiff,AirDaily,AirWeekly,AirDiff,In-Situ,Landsat 
CR-1,27.13888889,0,72.86111111,0,5/30/2015,E,1.016145833,1.106324405,-0.090178571,14.44166667,8.153571429,6.288095238,11.625,20.74
CR-1,27.13888889,0,72.86111111,0,6/15/2015,E,0.959479167,1.153333333,-0.193854167,18.4375,10.54940476,7.888095238,14.721,24.46
CR-1,27.13888889,0,72.86111111,0,7/1/2015,E,0.73875,0.745654762,-0.006904762,8.554166667,10.20535714,-1.651190476,9.682,14.03
CR-1,27.13888889,0,72.86111111,0,8/11/2015,E,0.605,0.599300595,0.005699405,10.42916667,10.51285714,-0.083690476,10.198,15.17
CR-1,27.13888889,0,72.86111111,0,8/18/2015,E,0.979375,0.656800595,0.322574405,11.43333333,10.92559524,0.507738095,11.078,15.35
CR-1,27.13888889,0,72.86111111,0,9/12/2015,E,0.92125,0.931770833,-0.010520833,7.354166667,8.416666667,-1.0625,NA,9.67
CR-2,12.77777778,0,87.22222222,0,5/30/2015,E,1.016145833,1.106324405,-0.090178571,14.44166667,8.153571429,6.288095238,8.182,21.31
CR-2,12.77777778,0,87.22222222,0,6/15/2015,E,0.959479167,1.153333333,-0.193854167,18.4375,10.54940476,7.888095238,NA,25.85
CR-2,12.77777778,0,87.22222222,0,7/1/2015,E,0.73875,0.745654762,-0.006904762,8.554166667,10.20535714,-1.651190476,NA,13.77
CR-2,12.77777778,0,87.22222222,0,8/11/2015,E,0.605,0.599300595,0.005699405,10.42916667,10.51285714,-0.083690476,9.965,15.44
CR-2,12.77777778,0,87.22222222,0,8/18/2015,E,0.979375,0.656800595,0.322574405,11.43333333,10.92559524,0.507738095,11.139,16.26
CR-2,12.77777778,0,87.22222222,0,9/12/2015,E,0.92125,0.931770833,-0.010520833,7.354166667,8.416666667,-1.0625,NA,9.68
NF-1,55.31147541,44.68852459,0,0,5/30/2015,C,1.016145833,1.106324405,-0.090178571,14.44166667,8.153571429,6.288095238,NA,17.25
NF-1,55.31147541,44.68852459,0,0,6/15/2015,C,0.959479167,1.153333333,-0.193854167,18.4375,10.54940476,7.888095238,15.008,21.31
NF-1,55.31147541,44.68852459,0,0,7/1/2015,C,0.73875,0.745654762,-0.006904762,8.554166667,10.20535714,-1.651190476,13.762,12.18
NF-1,55.31147541,44.68852459,0,0,8/11/2015,C,0.605,0.599300595,0.005699405,10.42916667,10.51285714,-0.083690476,14.505,14.03
NF-1,55.31147541,44.68852459,0,0,8/18/2015,C,0.979375,0.656800595,0.322574405,11.43333333,10.92559524,0.507738095,13.329,13.68
NF-1,55.31147541,44.68852459,0,0,9/12/2015,C,0.92125,0.931770833,-0.010520833,7.354166667,8.416666667,-1.0625,10.1,9.47
NF-2,41.17157135,0,58.82842865,0,5/30/2015,B,1.016145833,1.106324405,-0.090178571,14.44166667,8.153571429,6.288095238,NA,19.49
NF-2,41.17157135,0,58.82842865,0,6/15/2015,B,0.959479167,1.153333333,-0.193854167,18.4375,10.54940476,7.888095238,16.415,23.86
NF-2,41.17157135,0,58.82842865,0,7/1/2015,B,0.73875,0.745654762,-0.006904762,8.554166667,10.20535714,-1.651190476,14.361,13.6
NF-2,41.17157135,0,58.82842865,0,8/11/2015,B,0.605,0.599300595,0.005699405,10.42916667,10.51285714,-0.083690476,14.218,15.26
NF-2,41.17157135,0,58.82842865,0,8/18/2015,B,0.979375,0.656800595,0.322574405,11.43333333,10.92559524,0.507738095,13.137,14.6
NF-2,41.17157135,0,58.82842865,0,9/12/2015,B,0.92125,0.931770833,-0.010520833,7.354166667,8.416666667,-1.0625,10.051,10.57
NF-3,35.33333333,0,27.13888889,37.52777778,5/30/2015,B,1.016145833,1.106324405,-0.090178571,14.44166667,8.153571429,6.288095238,16.141,20.3
NF-3,35.33333333,0,27.13888889,37.52777778,6/15/2015,B,0.959479167,1.153333333,-0.193854167,18.4375,10.54940476,7.888095238,20.71,24.69
NF-3,35.33333333,0,27.13888889,37.52777778,7/1/2015,B,0.73875,0.745654762,-0.006904762,8.554166667,10.20535714,-1.651190476,15.473,13.26
NF-3,35.33333333,0,27.13888889,37.52777778,8/11/2015,B,0.605,0.599300595,0.005699405,10.42916667,10.51285714,-0.083690476,NA,14.91
NF-3,35.33333333,0,27.13888889,37.52777778,8/18/2015,B,0.979375,0.656800595,0.322574405,11.43333333,10.92559524,0.507738095,NA,15.03
