Spp,Length,Weight,Sex,Year,Month,Age,BCAge,BCLength
CCF,279,173,U,2015,May,3,2,205.7702684
CCF,334,279,U,2015,May,4,3,258.8845457
CCF,351,378,U,2015,May,4,3,300.7401036
CCF,320,280,U,2015,May,5,4,306.4891218
CCF,335,268,U,2015,May,5,4,294.0877339
CCF,345,318,U,2015,May,5,4,290.8587589
CCF,362,416,U,2015,May,5,4,314.0249178
CCF,391,,U,2015,May,5,4,334.0580747
CCF,345,345,U,2015,May,6,5,311.8054395
CCF,353,338,U,2015,May,6,5,316.2046634
CCF,355,356,U,2015,May,6,5,326.492152
CCF,378,432,U,2015,May,6,5,326.1518885
CCF,384,482,U,2015,May,6,5,345.8101269
CCF,386,450,U,2015,May,6,5,357.6765192
CCF,386,510,U,2015,May,6,5,358.8855
CCF,390,,U,2015,May,6,5,358.2087708
CCF,396,475,U,2015,May,6,5,358.8393209
CCF,404,520,U,2015,May,6,5,374.9819853
CCF,409,456,U,2015,May,6,5,383.5158696
CCF,445,730,U,2015,May,6,5,420.4820822
CCF,386,437,U,2015,May,7,6,371.9360504
CCF,393,532,U,2015,May,7,6,361.3851675
CCF,394,506,U,2015,May,7,6,355.1101091
CCF,395,480,U,2015,May,7,6,361.6315512
CCF,398,520,U,2015,May,7,6,381.6004277
CCF,400,550,U,2015,May,7,6,361.1530933
CCF,405,,U,2015,May,7,6,361.6277069
CCF,412,594,U,2015,May,7,6,389.5557643
CCF,415,526,U,2015,May,7,,
CCF,415,,U,2015,May,7,6,402.5737985
CCF,417,535,U,2015,May,7,6,390.4224231
CCF,419,606,U,2015,May,7,6,403.4314016
CCF,424,602,U,2015,May,7,6,387.8943403
CCF,424,,U,2015,May,7,6,392.2197754
CCF,436,622,U,2015,May,7,6,403.0806848
CCF,438,737,U,2015,May,7,6,399.2960186
CCF,442,660,U,2015,May,7,6,408.7888653
CCF,445,798,U,2015,May,7,6,420.0557584
CCF,445,,U,2015,May,7,6,395.9495118
CCF,446,612,U,2015,May,7,6,428.5236989
CCF,447,760,U,2015,May,7,6,419.18114
CCF,485,856,U,2015,May,7,6,450.2779162
CCF,490,894,U,2015,May,7,6,450.9395242
CCF,494,775,U,2015,May,7,6,404.2960122
CCF,404,508,U,2015,May,8,7,390.2445485
CCF,407,520,U,2015,May,8,7,381.0060866
CCF,415,570,U,2015,May,8,7,391.5868415
CCF,430,,U,2015,May,8,7,399.9828191
CCF,432,608,U,2015,May,8,7,423.7536365
CCF,438,779,U,2015,May,8,7,405.7077984
CCF,449,700,U,2015,May,8,7,424.940609
CCF,460,810,U,2015,May,8,7,426.8049938
CCF,461,805,U,2015,May,8,7,441.4031718
CCF,465,,U,2015,May,8,7,442.4825278
CCF,471,,U,2015,May,8,7,447.8948172
CCF,472,946,U,2015,May,8,7,453.6620519
CCF,480,962,U,2015,May,8,7,437.7426297
CCF,482,948,U,2015,May,8,7,444.3250741
CCF,487,820,U,2015,May,8,7,450.8378364
CCF,498,998,U,2015,May,8,7,464.2401359
CCF,506,1063,U,2015,May,8,7,446.9495948
CCF,451,800,U,2015,May,9,8,434.2326762
CCF,460,775,U,2015,May,9,8,436.6856711
CCF,468,904,U,2015,May,9,8,433.2948888
CCF,469,850,U,2015,May,9,8,446.970712
CCF,475,834,U,2015,May,9,8,451.6140214
CCF,476,1089,U,2015,May,9,8,456.908467
CCF,480,601,U,2015,May,9,8,456.0863134
CCF,499,994,U,2015,May,9,8,478.9059771
CCF,499,1275,U,2015,May,9,8,468.1477195
CCF,500,978,U,2015,May,9,8,469.6977419
CCF,500,1000,U,2015,May,9,8,449.6297484
CCF,500,1115,U,2015,May,9,8,477.6126977
CCF,500,1025,U,2015,May,9,8,478.9008522
CCF,500,,U,2015,May,9,8,462.4016409
CCF,505,995,U,2015,May,9,8,489.3015126
CCF,507,1180,U,2015,May,9,8,469.263951
CCF,507,1088,U,2015,May,9,8,494.6779044
CCF,510,1000,U,2015,May,9,8,491.5818364
CCF,514,1225,U,2015,May,9,8,472.3067292
CCF,519,1186,U,2015,May,9,8,494.3661181
CCF,550,1389,U,2015,May,9,8,520.1727422
CCF,481,941,U,2015,May,10,9,470.7245904
CCF,483,965,U,2015,May,10,9,436.9093158
CCF,514,1369,U,2015,May,10,9,412.5763236
CCF,515,1260,U,2015,May,10,9,467.254608
CCF,527,1190,U,2015,May,10,9,458.1281189
CCF,535,1269,U,2015,May,10,9,494.2639594
CCF,538,1456,U,2015,May,10,9,508.4726827
CCF,545,1210,U,2015,May,10,9,533.4423337
CCF,546,1545,U,2015,May,10,9,511.3869098
CCF,555,1420,U,2015,May,10,9,518.6439757
CCF,613,2529,U,2015,May,10,9,537.904762
CCF,469,940,U,2015,May,11,10,432.6460731
CCF,538,1250,U,2015,May,11,10,528.3298943
CCF,627,2720,U,2015,May,14,13,608.6910063
CCF,656,2936,U,2015,May,14,13,627.45995
CCF,597,1725,U,2015,May,15,14,570.5854199
CCF,621,2275,U,2015,May,16,15,603.6346675
CCF,685,2504,U,2015,May,16,15,670.0498993
CCF,769,4990,U,2015,May,16,15,740.0736642
CCF,672,3008,U,2015,May,17,16,640.7007608
CCF,695,3240,U,2015,May,17,16,673.5381653
CCF,763,4538,U,2015,May,18,17,757.6269778
CCF,260,180,U,2015,May,,,
CCF,262,,U,2015,May,,,
CCF,267,,U,2015,May,,,
CCF,275,190,U,2015,May,,,
CCF,280,,U,2015,May,,,
CCF,295,231,U,2015,May,,,
CCF,295,,U,2015,May,,,
CCF,300,,U,2015,May,,,
CCF,303,235,U,2015,May,,,
CCF,303,,U,2015,May,,,
CCF,303,,U,2015,May,,,
CCF,305,260,U,2015,May,,,
CCF,306,244,U,2015,May,,,
CCF,308,,U,2015,May,,,
CCF,310,245,U,2015,May,,,
CCF,310,,U,2015,May,,,
CCF,311,,U,2015,May,,,
CCF,312,228,U,2015,May,,,
CCF,314,240,U,2015,May,,,
CCF,315,296,U,2015,May,,,
CCF,317,,U,2015,May,,,
CCF,320,260,U,2015,May,,,
CCF,324,312,U,2015,May,,,
CCF,325,297,U,2015,May,,,
CCF,328,,U,2015,May,,,
CCF,330,256,U,2015,May,,,
CCF,330,282,U,2015,May,,,
CCF,330,300,U,2015,May,,,
CCF,333,,U,2015,May,,,
CCF,333,,U,2015,May,,,
CCF,337,,U,2015,May,,,
CCF,339,361,U,2015,May,,,
CCF,339,350,U,2015,May,,,
CCF,340,363,U,2015,May,,,
CCF,345,366,U,2015,May,,,
CCF,345,360,U,2015,May,,,
CCF,345,400,U,2015,May,,,
CCF,346,314,U,2015,May,,,
CCF,347,344,U,2015,May,,,
CCF,347,340,U,2015,May,,,
CCF,347,,U,2015,May,,,
CCF,348,,U,2015,May,,,
CCF,350,382,U,2015,May,,,
CCF,350,351,U,2015,May,,,
CCF,350,345,U,2015,May,,,
CCF,350,,U,2015,May,,,
CCF,350,,U,2015,May,,,
CCF,350,365,U,2015,May,,,
CCF,351,,U,2015,May,,,
CCF,352,352,U,2015,May,,,
CCF,355,375,U,2015,May,,,
CCF,355,,U,2015,May,,,
CCF,355,,U,2015,May,,,
CCF,359,340,U,2015,May,,,
CCF,359,380,U,2015,May,,,
CCF,359,,U,2015,May,,,
