"SpecimenID","ImageFileName","Lake","CollectionSite","CollectionDate","Collector","Method","MeasurerInitials","MorphometricAbbreviation","Value"
"2018-50-886-20","DSC_5227.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","BDD",66.88
"2018-50-886-20","DSC_5227.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","CPL",26.59
"2018-50-886-20","DSC_5227.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","DOH",42.61
"2018-50-886-20","DSC_5227.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","HLL",56.37
"2018-50-886-20","DSC_5227.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","MXL",17.63
"2018-50-886-20","DSC_5227.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","OOL",14.09
"2018-50-886-20","DSC_5227.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","PAD",68.05
"2018-50-886-20","DSC_5227.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","PCL",42.11
"2018-50-886-20","DSC_5227.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","POL",12.97
"2018-50-886-20","DSC_5227.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","PVL",40.35
"2018-50-886-20","DSC_5227.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","STL",261
"2018-50-886-20","DSC_5227.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","TTL",324
"2018-50-874-11","DSC_5230.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","BDD",73.46
"2018-50-874-11","DSC_5230.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","CPL",35.84
"2018-50-874-11","DSC_5230.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","DOH",43.21
"2018-50-874-11","DSC_5230.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","HLL",59.26
"2018-50-874-11","DSC_5230.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","MXL",17.76
"2018-50-874-11","DSC_5230.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","OOL",13.14
"2018-50-874-11","DSC_5230.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","PAD",77.36
"2018-50-874-11","DSC_5230.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","PCL",44.92
"2018-50-874-11","DSC_5230.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","POL",14.15
"2018-50-874-11","DSC_5230.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","PVL",44.36
"2018-50-874-11","DSC_5230.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","STL",295
"2018-50-874-11","DSC_5230.jpg","Lake Ontario","Chaumont Bay","12/4/2018","USGS LOBS","specimenBased","BPO","TTL",357
"2018-50-862-3","DSC_5231.jpg","Lake Ontario","Chaumont Bay","11/19/2018","USGS LOBS","specimenBased","BPO","BDD",66.53
