study,netID,sDate,run,species,length,clipped,recap,notes
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,31,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,32,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,33,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,34,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,34,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,34,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,35,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,35,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,36,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,36,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,36,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,36,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,37,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,37,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,37,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,37,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,37,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,37,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,37,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,37,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,37,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,38,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,38,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,38,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,38,FALSE,FALSE,mortality
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,38,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,39,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,39,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,39,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,39,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,39,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,39,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,39,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,39,FALSE,FALSE,mortality
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,39,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,40,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,40,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,40,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,40,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,40,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,40,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,40,FALSE,FALSE,mortality
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,40,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,41,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,41,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,41,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,41,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,41,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,41,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,41,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,42,FALSE,FALSE,mortality
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,42,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,42,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,42,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,42,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,42,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,42,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,42,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,43,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,43,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,43,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,43,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,43,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,43,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,44,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,44,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,44,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,44,FALSE,FALSE,mortality
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,44,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,44,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,45,FALSE,FALSE,mortality
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,45,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,45,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,45,FALSE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,45,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,46,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,46,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,46,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,46,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,46,TRUE,FALSE,
Whittlesey2011,WhittleseyCreek11_1,25-May-11,mark,Species2,46,TRUE,FALSE,
