len,gear
77,A
78,A
76,A
74,A
85,A
82,A
86,A
88,A
85,A
83,A
80,A
82,A
89,A
93,A
96,A
99,A
96,A
92,A
99,A
95,A
93,A
95,A
92,A
90,A
96,A
99,A
96,A
92,A
99,A
105,A
109,A
103,A
108,A
109,A
101,A
102,A
106,A
108,A
108,A
101,A
108,A
104,A
109,A
111,A
113,A
118,A
110,A
115,A
119,A
114,A
116,A
114,A
112,A
115,A
118,A
111,A
114,A
114,A
110,A
112,A
115,A
116,A
112,A
124,A
127,A
127,A
122,A
129,A
126,A
122,A
126,A
120,A
123,A
121,A
126,A
122,A
123,A
125,A
124,A
129,A
128,A
129,A
120,A
128,A
128,A
128,A
124,A
128,A
120,A
123,A
131,A
138,A
131,A
131,A
133,A
130,A
139,A
133,A
135,A
131,A
132,A
134,A
133,A
134,A
134,A
135,A
135,A
136,A
138,A
137,A
130,A
131,A
134,A
130,A
130,A
132,A
135,A
138,A
133,A
136,A
136,A
130,A
134,A
130,A
138,A
139,A
139,A
137,A
131,A
134,A
148,A
142,A
147,A
147,A
143,A
141,A
143,A
144,A
148,A
144,A
145,A
142,A
148,A
140,A
148,A
144,A
141,A
149,A
146,A
149,A
145,A
145,A
143,A
144,A
148,A
140,A
144,A
141,A
140,A
142,A
145,A
140,A
141,A
145,A
141,A
149,A
144,A
149,A
144,A
146,A
144,A
140,A
141,A
146,A
144,A
155,A
159,A
151,A
157,A
150,A
158,A
158,A
152,A
157,A
152,A
157,A
154,A
152,A
157,A
159,A
157,A
150,A
159,A
157,A
157,A
158,A
155,A
156,A
155,A
158,A
158,A
158,A
156,A
159,A
150,A
156,A
150,A
159,A
150,A
151,A
154,A
158,A
158,A
151,A
151,A
152,A
156,A
154,A
154,A
156,A
152,A
157,A
153,A
157,A
157,A
157,A
153,A
155,A
156,A
150,A
151,A
158,A
153,A
153,A
154,A
159,A
154,A
157,A
167,A
164,A
161,A
164,A
165,A
169,A
167,A
169,A
160,A
164,A
167,A
164,A
160,A
166,A
168,A
163,A
160,A
162,A
160,A
164,A
168,A
162,A
161,A
167,A
164,A
160,A
166,A
161,A
166,A
165,A
161,A
165,A
169,A
161,A
160,A
165,A
167,A
169,A
166,A
168,A
160,A
166,A
168,A
166,A
162,A
167,A
169,A
162,A
164,A
160,A
168,A
166,A
169,A
167,A
163,A
168,A
168,A
166,A
163,A
166,A
161,A
167,A
162,A
161,A
163,A
164,A
166,A
165,A
172,A
171,A
174,A
177,A
173,A
172,A
176,A
170,A
174,A
177,A
171,A
174,A
175,A
175,A
176,A
172,A
172,A
174,A
171,A
179,A
175,A
175,A
178,A
171,A
174,A
176,A
172,A
171,A
176,A
174,A
177,A
173,A
175,A
170,A
173,A
172,A
173,A
180,A
184,A
182,A
181,A
188,A
189,A
181,A
185,A
183,A
186,A
188,A
185,A
180,A
185,A
188,A
184,A
184,A
187,A
192,A
192,A
194,A
196,A
198,A
197,A
207,A
201,A
201,A
200,A
211,A
227,A
221,A
98,B
95,B
111,B
123,B
120,B
129,B
120,B
127,B
122,B
123,B
126,B
122,B
125,B
126,B
127,B
120,B
126,B
124,B
121,B
121,B
122,B
123,B
127,B
126,B
124,B
122,B
123,B
126,B
124,B
127,B
124,B
127,B
121,B
120,B
123,B
126,B
125,B
122,B
126,B
128,B
125,B
129,B
138,B
135,B
130,B
131,B
133,B
136,B
135,B
136,B
135,B
136,B
133,B
132,B
133,B
135,B
130,B
138,B
137,B
139,B
131,B
137,B
134,B
135,B
132,B
132,B
131,B
131,B
138,B
130,B
133,B
139,B
132,B
135,B
140,B
140,B
140,B
140,B
149,B
147,B
143,B
141,B
143,B
145,B
143,B
140,B
143,B
144,B
143,B
140,B
147,B
148,B
147,B
144,B
148,B
146,B
144,B
142,B
140,B
149,B
149,B
147,B
143,B
142,B
147,B
146,B
144,B
147,B
142,B
143,B
147,B
143,B
144,B
141,B
143,B
147,B
145,B
143,B
145,B
144,B
147,B
142,B
140,B
147,B
148,B
144,B
146,B
144,B
143,B
145,B
145,B
140,B
144,B
141,B
145,B
142,B
144,B
146,B
149,B
149,B
142,B
155,B
159,B
153,B
158,B
152,B
152,B
154,B
150,B
154,B
153,B
151,B
150,B
158,B
153,B
151,B
152,B
152,B
156,B
159,B
152,B
158,B
155,B
152,B
159,B
150,B
156,B
158,B
152,B
153,B
156,B
150,B
153,B
158,B
150,B
154,B
152,B
154,B
154,B
157,B
152,B
153,B
153,B
153,B
153,B
154,B
153,B
156,B
151,B
150,B
157,B
154,B
157,B
151,B
150,B
157,B
158,B
151,B
154,B
155,B
151,B
153,B
156,B
151,B
156,B
159,B
150,B
150,B
158,B
150,B
157,B
150,B
155,B
159,B
154,B
157,B
150,B
151,B
153,B
157,B
157,B
154,B
151,B
159,B
153,B
157,B
152,B
151,B
154,B
157,B
151,B
153,B
158,B
150,B
152,B
151,B
151,B
151,B
162,B
164,B
163,B
164,B
161,B
165,B
169,B
169,B
161,B
163,B
161,B
163,B
162,B
162,B
163,B
166,B
166,B
160,B
163,B
161,B
160,B
161,B
163,B
161,B
167,B
167,B
166,B
166,B
166,B
165,B
168,B
165,B
165,B
167,B
160,B
167,B
167,B
165,B
161,B
168,B
166,B
160,B
160,B
160,B
161,B
169,B
161,B
161,B
167,B
168,B
161,B
166,B
166,B
166,B
163,B
169,B
161,B
162,B
164,B
168,B
166,B
165,B
161,B
166,B
162,B
167,B
165,B
164,B
168,B
166,B
165,B
162,B
160,B
168,B
163,B
167,B
166,B
166,B
164,B
171,B
178,B
177,B
173,B
177,B
177,B
170,B
176,B
173,B
177,B
179,B
173,B
175,B
175,B
173,B
174,B
172,B
174,B
173,B
179,B
177,B
173,B
174,B
179,B
173,B
177,B
170,B
174,B
177,B
179,B
171,B
173,B
174,B
177,B
178,B
170,B
170,B
175,B
176,B
173,B
177,B
177,B
172,B
171,B
173,B
176,B
179,B
174,B
173,B
177,B
176,B
176,B
177,B
170,B
175,B
175,B
172,B
178,B
175,B
176,B
174,B
180,B
182,B
186,B
182,B
182,B
184,B
182,B
189,B
188,B
181,B
188,B
189,B
185,B
180,B
181,B
188,B
186,B
180,B
189,B
180,B
183,B
182,B
184,B
180,B
180,B
180,B
181,B
189,B
187,B
182,B
189,B
187,B
187,B
182,B
183,B
180,B
189,B
183,B
187,B
188,B
188,B
181,B
180,B
185,B
181,B
182,B
182,B
184,B
184,B
181,B
182,B
185,B
187,B
187,B
187,B
182,B
188,B
183,B
181,B
189,B
188,B
189,B
185,B
180,B
181,B
188,B
186,B
186,B
186,B
189,B
180,B
182,B
189,B
198,B
191,B
196,B
193,B
197,B
192,B
197,B
198,B
190,B
190,B
198,B
194,B
191,B
197,B
196,B
196,B
191,B
197,B
193,B
195,B
192,B
199,B
196,B
195,B
197,B
195,B
196,B
197,B
198,B
191,B
194,B
198,B
197,B
198,B
196,B
190,B
196,B
193,B
198,B
198,B
196,B
199,B
190,B
198,B
196,B
194,B
194,B
194,B
197,B
200,B
206,B
209,B
204,B
207,B
203,B
203,B
202,B
204,B
202,B
209,B
208,B
205,B
208,B
204,B
209,B
209,B
205,B
207,B
202,B
214,B
216,B
213,B
210,B
218,B
214,B
219,B
220,B
227,B
222,B
229,B
220,B
